   ,CODE,NAME,NAME,SHORT_NAME
57,1241.3,Будівлі міського електротранспорту.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
58,1263,"Будівлі навчальних та дослідних закладів.<br><i>Цей клас включає:</i><br><ul><li>будівлі для дошкільного та початкового навчання, отримання середньої освіти (дитячі ясла та сади, школи, коледжі, ліцеї, гімназії тощо), спеціалізовані (фахові) школи, професійно-технічні навчальні заклади;</li><li>будівлі для вищих навчальних закладів, науково-дослідних закладів, лабораторій.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>спеціалізовані школи для дітей з фізичними або розумовими вадами;</li><li>заклади для фахової перепідготовки;</li><li>метеорологічні станції, обсерваторії.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>гуртожитки для студентів та учнів (11.30);</li><li>бібліотеки (12.62);</li><li>лікарні навчальних закладів (12.64).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
59,1263.1,Будівлі науково-дослідних та проектно-вишукувальних установ.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
60,12,Будівлі нежитлові.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
61,127,Будівлі нежитлові інші.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
62,1220.1,Будівлі органів державного та місцевого управління.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
63,1220.3,Будівлі органів правосуддя.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
64,1263.9,Будівлі освітніх та науково-дослідних закладів інші.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
65,122,Будівлі офісні.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
66,1220,"Будівлі офісні.<br><i>Цей клас включає:</i><ul><li>будівлі, що використовуються як приміщення для конторських та адміністративних цілей, в тому числі для промислових підприємств, банків, поштових відділень, органів місцевого управління, урядових та відомчих департаментів та т. ін.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>центри для з'їздів та конференцій, будівлі органів правосуддя, парламентські будівлі.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>офіси в будівлях, що призначені (використовуються), головним чином, для інших цілей</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
